Time[s],NS[cm/s/s],EW[cm/s/s],UD[cm/s/s]
18.62,-12.4,27.6 ,-17.6 
18.64,5.4,43.1 ,-10.8 
18.66,2.7,48.4 ,-6.2 
18.68,-25,54.6 ,17.1 
18.7,-56.6,57.6 ,18.2 
18.72,-63,64.0 ,-33.4 
18.74,-59.1,50.3 ,-18.9 
18.76,-41.3,23.0 ,13.3 
18.78,-6.8,0.8 ,5.6 
18.8,27.2,-28.0 ,1.9 
18.82,27.7,-53.3 ,-2.7 
18.84,-2.1,-81.3 ,22.9 
18.86,-6,-94.1 ,37.0 
18.88,-11,-76.1 ,21.5 
18.9,-22.1,-62.9 ,4.6 
18.92,-41.6,-36.2 ,-4.5 
18.94,-51.9,-7.1 ,4.8 
18.96,-22.2,5.6 ,10.1 
18.98,3,4.0 ,11.0 
19,7.9,6.9 ,6.0 
19.02,13.9,5.5 ,1.2 
19.04,17.1,7.1 ,-28.8 
19.06,25.3,-8.0 ,-24.7 
19.08,32.3,-9.1 ,-7.0 
19.1,39.1,-10.3 ,10.6 
19.12,16.4,-25.8 ,9.9 
19.14,-13.6,-36.4 ,4.7 
19.16,-32.3,-48.1 ,5.5 
19.18,-29.1,-54.4 ,2.4 
19.2,-28.7,-31.7 ,9.2 
19.22,-30.4,-9.4 ,18.2 
19.24,-33.9,0.5 ,9.0 
19.26,-24.5,-6.2 ,-6.3 
19.28,-7.6,-10.7 ,-14.2 
19.3,12.5,-21.3 ,11.7 
19.32,37.6,-5.7 ,6.7 
19.34,40.2,5.7 ,-21.0 
19.36,24.5,20.0 ,-32.3 
19.38,15.6,31.1 ,-13.3 
19.4,-4,44.2 ,9.4 
19.42,-15.3,45.0 ,14.9 
19.44,-28.9,50.3 ,7.6 
19.46,-31.6,53.6 ,11.1 
19.48,-11.1,46.0 ,9.6 
19.5,9.4,33.8 ,8.8 
19.52,33.5,23.2 ,10.8 
19.54,57.6,8.1 ,14.6 
19.56,42.4,-5.4 ,-3.1 
19.58,14.3,-20.2 ,-12.5 
19.6,-0.7,-31.8 ,5.6 
19.62,-13.5,-44.8 ,0.4 
19.64,-27,-56.7 ,-7.2 
19.66,-34.1,-65.2 ,2.4 
19.68,-35.7,-52.4 ,8.0 
19.7,-39.6,-41.4 ,12.7 
19.72,-40.2,-25.1 ,1.9 
19.74,-48.8,-8.7 ,-6.1 
19.76,-48,10.7 ,7.1 
19.78,-40.6,29.9 ,10.8 
19.8,-40.7,48.2 ,1.3 
19.82,-35.1,67.1 ,4.5 
19.84,-18.7,71.5 ,16.9 
19.86,-5.7,48.9 ,19.9 
19.88,4.4,37.1 ,10.2 
19.9,-1.9,16.5 ,2.0 
19.92,-7.2,-4.9 ,3.0 
19.94,-16.9,-25.2 ,5.9 
19.96,-11.5,-53.1 ,7.6 
19.98,12.6,-65.2 ,6.5 
20,35.8,-43.2 ,12.6 
20.02,65.4,-30.8 ,4.4 
20.04,71.6,-9.4 ,-4.5 
20.06,76.2,5.1 ,-5.1 
20.08,73.9,24.2 ,-6.2 
20.1,62.8,39.1 ,-10.3 
20.12,48.4,55.1 ,-10.0 
20.14,26.4,41.2 ,-9.9 
20.16,-4.4,26.2 ,-3.8 
20.18,-28.8,5.8 ,2.6 
20.2,-38.4,-13.6 ,6.9 
20.22,-49.2,-28.7 ,8.2 
20.24,-42.8,-31.7 ,6.2 
20.26,-41.6,-25.7 ,4.0 
20.28,-27.6,-14.6 ,-0.8 
20.3,-5.2,-0.7 ,5.0 
20.32,23.7,17.5 ,12.5 
20.34,42.6,39.8 ,6.2 
20.36,60.4,56.5 ,-1.5 
20.38,45.2,72.2 ,-16.9 
20.4,28.4,81.2 ,-19.9 
20.42,12.6,78.4 ,-24.5 
20.44,-5.4,84.3 ,-21.9 
20.46,-27.5,68.0 ,-24.1 
20.48,-42.3,51.1 ,-27.9 
20.5,-17.5,34.0 ,-21.4 
20.52,0.1,14.7 ,-5.3 
20.54,25.4,-3.3 ,11.7 
20.56,48.1,-22.8 ,-5.5 
20.58,64.1,-41.0 ,-2.9 
20.6,55.4,-58.0 ,-0.6 
20.62,41.3,-38.6 ,6.9 
20.64,18.4,-45.3 ,2.2 
20.66,-4.8,-57.1 ,-8.9 
20.68,-30.3,-66.8 ,-0.7 
20.7,-53.1,-79.0 ,8.0 
20.72,-70.8,-94.8 ,-3.1 
20.74,-92.8,-91.2 ,-7.8 
20.76,-86.3,-63.4 ,-25.9 
20.78,-63.1,-26.2 ,-12.2 
20.8,-37.6,23.9 ,-6.7 
20.82,8.7,84.7 ,-13.3 
20.84,30.9,91.3 ,-14.2 
20.86,58.9,73.5 ,-11.4 
20.88,61.4,61.5 ,-9.3 
20.9,38.5,36.3 ,1.6 
20.92,35.1,15.1 ,-2.3 
20.94,31.1,-11.8 ,3.6 
20.96,24.6,-31.9 ,7.5 
20.98,1.9,-21.7 ,-2.6 
21,-19.8,-16.6 ,-17.3 
21.02,-15.8,-5.1 ,-8.3 
21.04,-1.5,-8.6 ,3.4 
21.06,9.9,-9.9 ,6.8 
21.08,28.6,-16.4 ,20.0 
21.1,40.8,-2.8 ,2.8 
21.12,56.3,17.6 ,-5.4 
21.14,53.1,38.6 ,-11.2 
21.16,31.4,46.3 ,-3.5 
21.18,16.5,36.2 ,-4.5 
21.2,-2.4,28.4 ,-3.8 
21.22,-18.9,16.0 ,-5.4 
21.24,-27.6,1.5 ,-7.0 
21.26,-37.1,-14.5 ,-8.2 
21.28,-45,-30.0 ,5.8 
21.3,-53.4,-46.6 ,18.8 
21.32,-48.3,-57.8 ,14.6 
21.34,-37.9,-50.3 ,5.2 
21.36,-29.6,-45.3 ,10.4 
21.38,-19.6,-36.7 ,19.8 
21.4,-18.4,-27.3 ,15.3 
21.42,-15.9,-21.8 ,1.9 
21.44,-11.9,-34.5 ,-8.5 
21.46,-5.3,-36.6 ,-4.5 
21.48,0.2,-47.3 ,-6.2 
21.5,5.9,-49.1 ,-11.6 
21.52,-2.3,-29.9 ,-9.8 
21.54,-11.2,-11.2 ,-9.4 
21.56,-20.5,8.1 ,-2.4 
21.58,-32.2,30.8 ,3.4 
21.6,-38.8,21.2 ,1.0 
21.62,-34.1,2.5 ,9.6 
21.64,-28.7,-13.8 ,19.0 
21.66,-32.8,-38.0 ,7.6 
21.68,-40.7,-45.9 ,8.5 
21.7,-48.7,-33.9 ,0.9 
21.72,-56.3,-24.5 ,1.7 
21.74,-64.4,-7.9 ,0.3 
21.76,-55.5,7.4 ,-5.0 
21.78,-44.6,22.4 ,-9.6 
21.8,-0.8,33.8 ,-8.1 
21.82,25.3,41.3 ,-2.0 
21.84,41.1,28.4 ,1.7 
21.86,64.4,27.0 ,-4.1 
21.88,57.9,18.9 ,-9.5 
21.9,47.4,13.3 ,-16.0 
21.92,38.4,6.7 ,-11.7 
21.94,38.5,0.2 ,-12.4 
21.96,34,-9.4 ,-12.3 
21.98,35.7,-17.9 ,3.1 
22,0.8,-27.5 ,19.2 
22.02,-25.4,-35.8 ,20.1 
22.04,-46,-27.8 ,7.8 
22.06,-47.1,-16.3 ,0.8 
22.08,-22.2,-5.4 ,4.9 
22.1,-6.5,9.5 ,11.2 
22.12,16.4,16.6 ,7.0 
22.14,35.5,20.1 ,-0.9 
22.16,50.4,30.2 ,-7.1 
22.18,37.1,37.0 ,-1.9 
22.2,28,45.4 ,-10.8 
22.22,15.8,35.4 ,-17.6 
22.24,4.1,21.7 ,-6.7 
22.26,-2.7,7.3 ,10.0 
22.28,2.1,-6.6 ,20.5 
22.3,4.4,5.2 ,28.3 
22.32,9.9,16.7 ,18.2 
22.34,13.5,29.3 ,9.1 
22.36,9.4,47.7 ,14.8 
22.38,5.8,33.5 ,6.4 
22.4,2.2,0.1 ,10.3 
22.42,-3.1,-13.4 ,9.7 
22.44,-3.1,-37.9 ,3.9 
22.46,0.4,-65.8 ,-1.5 
22.48,-2.5,-67.3 ,-0.9 
22.5,-12.4,-32.9 ,-8.3 
22.52,-23.5,-16.5 ,-18.9 
22.54,-40.6,14.8 ,-11.8 
22.56,-53,42.8 ,-5.4 
22.58,-70.1,71.1 ,9.5 
22.6,-32.3,51.9 ,23.6 
22.62,-5.2,35.6 ,9.0 
22.64,9.4,5.1 ,7.4 
22.66,32.8,-43.6 ,6.1 
22.68,47.8,-51.4 ,2.2 
22.7,50.9,-46.9 ,-2.0 
22.72,35.8,-40.2 ,-3.0 
22.74,34.2,-22.3 ,-6.9 
22.76,30.6,-10.7 ,-4.6 
22.78,28.5,3.6 ,-7.6 
22.8,26.3,15.7 ,-5.9 
22.82,16.8,27.7 ,-4.0 
22.84,-0.5,18.9 ,3.6 
22.86,-21.2,11.6 ,1.7 
22.88,-36.5,0.2 ,-7.0 
22.9,-31,-10.9 ,-7.1 
22.92,-29.7,-24.1 ,-3.4 
22.94,-28,-34.0 ,-3.5 
22.96,-23.7,-47.7 ,-7.4 
22.98,-26.6,-38.5 ,-5.3 
23,-30.8,-19.6 ,4.8 
23.02,-36.6,-8.5 ,-5.0 
23.04,-35.7,8.5 ,5.9 
23.06,-30.8,20.3 ,14.4 
23.08,-19.3,35.4 ,19.6 
23.1,1.9,41.6 ,21.6 
23.12,19.6,34.7 ,10.0 
23.14,16,26.7 ,-3.2 
23.16,12.9,13.9 ,-10.7 
23.18,14,0.9 ,-20.0 
23.2,11,-13.1 ,-10.4 
23.22,10.8,-29.3 ,-3.3 
23.24,9.2,-31.8 ,-7.8 
23.26,8.9,-19.8 ,-10.0 
23.28,1.9,-13.9 ,-0.3 
23.3,-13.1,-3.4 ,9.5 
23.32,-24.7,6.4 ,6.5 
23.34,-43.6,7.9 ,7.5 
23.36,-43.2,-1.1 ,19.2 
23.38,-30,5.3 ,21.2 
23.4,-19.2,11.6 ,-0.1 
23.42,-4.8,19.5 ,-17.4 
23.44,9.7,18.6 ,-19.2 
23.46,16.8,13.9 ,2.9 
23.48,14.8,17.1 ,3.7 
23.5,17.3,20.8 ,-6.8 
23.52,7.8,14.6 ,-13.7 
23.54,-5.8,8.5 ,-3.0 
23.56,-21.5,1.3 ,11.3 
23.58,-23.4,-6.6 ,22.0 
23.6,6,-14.5 ,9.4 
23.62,26.2,-22.9 ,12.1 
23.64,26.9,-31.3 ,9.5 
23.66,8.4,-40.1 ,5.5 
23.68,-4.1,-47.9 ,-1.7 
23.7,-22.7,-58.8 ,-8.3 
23.72,-7.6,-67.6 ,0.5 
23.74,3.1,-54.8 ,-14.0 
23.76,18.2,-41.3 ,-26.0 
23.78,31,-20.7 ,-24.4 
23.8,47.9,-0.5 ,-0.5 
23.82,45.9,22.0 ,12.4 
23.84,16.6,45.9 ,4.0 
23.86,-5.8,68.0 ,2.2 
23.88,-39.6,93.3 ,1.1 
23.9,-44.4,92.5 ,-0.1 
23.92,-24.1,79.7 ,-3.7 
23.94,-10.1,64.7 ,-7.6 
23.96,21.7,37.1 ,-9.5 
23.98,26.1,15.3 ,-9.9 
24,12.1,-14.3 ,-10.5 
24.02,0.8,-29.0 ,-6.4 
24.04,-16.8,-1.6 ,-4.0 
24.06,-38.2,24.3 ,-3.0 
24.08,-56.6,48.4 ,7.1 
24.1,-78.1,72.8 ,13.9 
24.12,-61.9,43.7 ,21.7 
24.14,-25.6,15.2 ,25.6 
24.16,4.4,-18.8 ,21.3 
24.18,45.6,-50.8 ,11.7 
24.2,78.3,-83.0 ,0.4 
24.22,110.3,-76.7 ,-11.6 
24.24,95.3,-61.8 ,-7.6 
24.26,48.9,-46.8 ,-9.3 
24.28,12.2,-26.3 ,-15.5 
24.3,-38.7,2.3 ,-19.9 
24.32,-84.6,38.4 ,-17.0 
24.34,-122.6,71.4 ,-13.3 
24.36,-86.4,99.1 ,-1.5 
24.38,-61.6,68.4 ,11.7 
24.4,-22.8,-17.9 ,18.4 
24.42,15,-75.7 ,17.8 
24.44,47.7,-58.4 ,-0.3 
24.46,32.3,-51.7 ,-14.2 
24.48,24.8,-29.3 ,-12.5 
24.5,9.5,-6.8 ,-3.1 
24.52,22.7,15.0 ,-6.6 
24.54,33.8,39.3 ,1.3 
24.56,50.5,61.5 ,-3.4 
24.58,59.4,86.9 ,4.4 
24.6,51.9,82.3 ,9.0 
24.62,55.2,61.7 ,18.8 
24.64,59.5,46.2 ,21.6 
24.66,61.7,20.7 ,6.7 
24.68,59.3,-7.6 ,-5.9 
24.7,46.6,-34.4 ,-14.2 
24.72,15.8,-58.6 ,-17.2 
24.74,-7.7,-84.6 ,-20.0 
24.76,-23,-108.1 ,-17.2 
24.78,-30.3,-117.6 ,-6.7 
24.8,-32.9,-98.9 ,3.2 
24.82,-36.4,-85.5 ,2.9 
24.84,-49,-65.6 ,-17.3 
24.86,-66,-46.5 ,-6.3 
24.88,-72.3,-25.7 ,-1.2 
24.9,-78.4,-4.7 ,-1.5 
24.92,-84.6,16.6 ,-2.2 
24.94,-56.6,37.9 ,-5.3 
24.96,-20.9,59.3 ,-10.9 
24.98,12.8,79.2 ,-16.2 
25,38.1,96.2 ,-17.4 
25.02,48.8,114.7 ,-10.8 
25.04,36.3,131.0 ,-4.9 
25.06,25,148.7 ,5.8 
25.08,15.8,135.8 ,5.4 
25.1,37.7,113.3 ,18.8 
25.12,59.4,90.5 ,31.1 
25.14,63,56.6 ,30.3 
25.16,37,26.6 ,8.0 
25.18,21.7,-7.0 ,8.5 
25.2,4,-43.9 ,-0.9 
25.22,2.3,-72.9 ,-3.4 
25.24,-6.2,-46.0 ,-13.5 
25.26,-28.6,-15.7 ,-4.1 
25.28,-38,20.3 ,-3.5 
25.3,-45.7,57.1 ,-11.6 
25.32,-50.5,90.5 ,-14.6 
25.34,-77.7,62.8 ,-11.7 
25.36,-62.8,30.8 ,-4.1 
25.38,-18.9,-7.0 ,-5.0 
25.4,18.9,-41.4 ,-10.8 
25.42,50.9,-25.9 ,-15.8 
25.44,74.4,-17.1 ,-12.5 
25.46,74.9,5.5 ,-11.5 
25.48,56.2,29.4 ,-15.7 
25.5,45.5,51.5 ,-7.5 
25.52,52.5,76.5 ,9.2 
25.54,63.5,87.2 ,12.4 
25.56,73.1,72.8 ,7.1 
25.58,85.1,63.0 ,19.5 
25.6,92.7,43.2 ,17.3 
25.62,97.5,19.1 ,3.3 
25.64,92.9,-3.6 ,-3.1 
25.66,81.4,-27.7 ,-14.7 
25.68,26.4,-31.7 ,-6.8 
25.7,-28.9,-33.9 ,4.9 
25.72,-90.1,-36.6 ,-11.2 
25.74,-136.4,-41.0 ,-35.6 
25.76,-85.9,-39.5 ,-15.1 
25.78,-46.8,-41.8 ,-0.2 
25.8,8.1,8.9 ,26.7 
25.82,59.4,48.9 ,45.6 
25.84,82.3,95.5 ,17.0 
25.86,55.6,115.0 ,6.3 
25.88,30.1,89.2 ,7.2 
25.9,-1.1,70.0 ,-2.4 
25.92,-38,39.2 ,2.7 
25.94,-34.7,8.0 ,-0.2 
25.96,-2,-28.9 ,-3.5 
25.98,18,-60.0 ,-9.7 
26,63.3,-51.5 ,-13.7 
26.02,101.3,-49.2 ,-6.1 
26.04,112.2,-40.0 ,-4.8 
26.06,110.7,-30.8 ,5.5 
26.08,94,-20.0 ,8.7 
26.1,80.5,-12.3 ,5.2 
26.12,60.8,-4.2 ,0.0 
26.14,50.8,-16.3 ,-6.1 
26.16,20.6,-45.3 ,0.5 
26.18,-20.1,-69.8 ,1.0 
26.2,-57.2,-85.2 ,-6.3 
26.22,-102.1,-88.9 ,-5.0 
26.24,-133.2,-82.9 ,5.6 
26.26,-122.5,-71.7 ,2.0 
26.28,-120.7,-52.9 ,14.8 
26.3,-100.6,-23.8 ,22.4 
26.32,-76.2,-1.3 ,21.5 
26.34,-54.8,11.9 ,13.5 
26.36,-48.9,25.4 ,8.5 
26.38,-40.5,35.1 ,-0.1 
26.4,-29.1,40.7 ,-2.2 
26.42,-17.6,46.7 ,-24.4 
26.44,-14.1,43.7 ,-13.5 
26.46,-9.8,22.1 ,-11.2 
26.48,-5,2.2 ,-15.8 
26.5,1.9,-19.8 ,-23.8 
26.52,8,-44.7 ,-20.6 
26.54,3.5,-35.6 ,-9.1 
26.56,-2.9,-14.4 ,-3.2 
26.58,-6.1,6.6 ,0.7 
26.6,-3.4,35.1 ,16.1 
26.62,-1.3,60.9 ,17.2 
26.64,7.6,58.8 ,30.6 
26.66,20.5,44.1 ,17.2 
26.68,32.7,32.8 ,3.0 
26.7,45,13.6 ,10.5 
26.72,57.7,-1.4 ,18.1 
26.74,56.2,-19.2 ,8.8 
26.76,46.4,-20.9 ,-5.2 
26.78,30,-14.7 ,-6.3 
26.8,10.7,-19.2 ,-2.7 
26.82,-0.4,-16.8 ,4.4 
26.84,-3.3,-10.1 ,-1.2 
26.86,-6.9,-2.4 ,-0.2 
26.88,-10.1,6.2 ,13.0 
26.9,-20.1,15.6 ,19.2 
26.92,-18.8,14.3 ,10.5 
26.94,2.5,13.1 ,2.9 
26.96,13.4,9.6 ,-10.3 
26.98,24.3,6.5 ,-17.2 
27,26.6,1.5 ,-20.9 
27.02,26.5,5.9 ,-22.9 
27.04,15.5,17.9 ,-17.4 
27.06,-1.9,28.3 ,-11.2 
27.08,-9.5,34.8 ,4.5 
27.1,-21.6,18.4 ,10.7 
27.12,-16.7,6.9 ,9.5 
27.14,-12,-13.1 ,15.4 
27.16,-6.4,-31.6 ,14.7 
27.18,-12.9,-54.0 ,7.2 
27.2,-16.3,-48.3 ,2.5 
27.22,-19.3,-29.7 ,-0.9 
27.24,-24.2,-12.8 ,3.8 
27.26,-23.6,6.7 ,-3.3 
27.28,-17.5,-0.8 ,-10.0 
27.3,-12.4,-9.1 ,-16.3 
27.32,-18.5,-17.6 ,-9.5 
27.34,-26.5,-29.0 ,-3.4 
27.36,-32.3,-40.1 ,2.8 
27.38,-33.6,-49.0 ,3.5 
27.4,-45.4,-43.9 ,1.5 
27.42,-43,-35.0 ,-0.5 
27.44,-33.4,-24.7 ,-3.3 
27.46,-21.3,-16.0 ,-1.6 
27.48,-6.9,-10.1 ,1.3 
27.5,3,-18.8 ,5.0 
27.52,0.3,-21.6 ,3.9 
27.54,-9.3,-25.2 ,-2.5 
27.56,-8.9,-21.9 ,-7.4 
27.58,-15,-13.2 ,-4.7 
27.6,-16.4,-14.2 ,-3.4 
27.62,-23.8,-22.2 ,-8.1 
27.64,-32.3,-25.0 ,-11.6 
27.66,-42.1,-32.6 ,-13.4 
27.68,-45.7,-37.8 ,-7.6 
27.7,-39.7,-33.0 ,-3.7 
27.72,-34.9,-28.9 ,-0.6 
27.74,-25.8,-25.4 ,1.8 
27.76,-17.2,-22.0 ,4.5 
27.78,-2,-18.8 ,6.8 
27.8,15.6,-15.8 ,8.5 
27.82,28.4,-13.2 ,5.1 
27.84,36.2,-12.1 ,9.1 
27.86,35.4,-10.4 ,15.0 
27.88,26.9,-7.0 ,16.1 
27.9,10.1,-3.3 ,10.8 
27.92,-4.5,-1.6 ,9.5 
27.94,-12.5,1.3 ,6.8 
27.96,-24.5,-2.0 ,2.6 
27.98,-22.9,-9.3 ,2.1 
28,-12.6,-14.7 ,4.0 
28.02,-6.8,-23.8 ,4.2 
28.04,1.8,-24.4 ,2.1 
28.06,9.3,-18.4 ,-4.2 
28.08,20,-16.6 ,-8.4 
28.1,28.6,-11.9 ,-6.4 
28.12,36.5,-7.1 ,-1.9 
28.14,31.1,-2.1 ,-0.4 
28.16,18.1,0.3 ,-1.3 
28.18,2.4,-10.2 ,0.0 
28.2,-15.6,-17.4 ,2.0 
28.22,-31.9,-27.7 ,8.5 
28.24,-21.9,-16.9 ,10.6 
28.26,-11.8,-4.2 ,4.5 
28.28,1.5,15.8 ,-1.2 
28.3,15.3,16.4 ,-4.7 
28.32,29.8,1.9 ,-3.7 
28.34,24.3,-4.2 ,-4.1 
28.36,13.6,-15.4 ,-2.5 
28.38,10.2,-25.1 ,-1.2 
28.4,2.4,-35.2 ,1.3 
28.42,-1,-28.0 ,8.4 
28.44,-2.3,-18.1 ,15.1 
28.46,-3.6,-2.0 ,5.8 
28.48,-4.8,10.2 ,-3.0 
28.5,-8.9,21.1 ,-11.7 
28.52,-15.5,28.0 ,-8.8 
28.54,-14.8,13.2 ,-6.3 
28.56,-7.6,8.9 ,-3.3 
28.58,0,0.6 ,-0.6 
28.6,-2,-4.9 ,-0.3 
28.62,-14.8,-9.8 ,-2.1 
28.64,-22.5,-7.9 ,0.3 
28.66,-37.4,-2.1 ,1.7 
28.68,-36.5,1.0 ,3.3 
28.7,-25.1,-8.8 ,0.7 
28.72,-16.4,-15.7 ,-1.3 
28.74,-1.4,-21.4 ,0.8 
28.76,15.3,-15.9 ,6.0 
28.78,30.2,-3.3 ,9.1 
28.8,39.3,10.4 ,6.9 
28.82,40.6,23.0 ,-0.6 
28.84,38.5,28.6 ,-3.4 
28.86,32.9,23.2 ,-3.7 
28.88,18.3,13.3 ,-7.1 
28.9,12.5,0.6 ,-6.7 
28.92,7,-12.1 ,-7.3 
28.94,-0.1,-24.6 ,-8.3 
28.96,-6.8,-25.1 ,-1.8 
28.98,-13,-19.2 ,0.3 
29,-12.8,-14.0 ,-1.8 
29.02,-11.5,-6.5 ,0.3 
29.04,-10.2,0.2 ,4.1 
29.06,-8.4,7.6 ,5.3 
29.08,-14.1,14.2 ,4.4 
29.1,-20.5,22.0 ,8.4 
29.12,-26.9,24.4 ,7.4 
29.14,-35,17.2 ,2.3 
29.16,-35.9,11.1 ,-1.6 
29.18,-29.7,3.6 ,-2.4 
29.2,-22.7,-5.0 ,-1.5 
29.22,1.8,-10.4 ,-5.2 
29.24,9.9,-16.6 ,-3.9 
29.26,20.3,-12.6 ,6.4 
29.28,25.6,-2.5 ,6.7 
29.3,19.9,5.8 ,1.5 
29.32,16,5.7 ,-1.3 
29.34,10.7,0.0 ,1.0 
29.36,15.6,-1.7 ,-1.5 
29.38,19.8,-1.1 ,-3.5 
29.4,24.2,-0.1 ,-4.9 
29.42,14.1,4.2 ,-4.8 
29.44,5.5,16.9 ,-5.8 
29.46,-6.6,21.2 ,-7.5 
29.48,-9.7,29.0 ,-8.7 
29.5,-2.6,21.1 ,-6.3 
29.52,1.6,4.7 ,-5.8 
29.54,10,-7.5 ,-5.6 
29.56,9.4,-12.4 ,-4.5 
29.58,3.9,-3.7 ,-1.3 
29.6,0,6.8 ,0.9 
29.62,-6.6,18.5 ,-0.3 
29.64,-9.9,28.4 ,-2.4 
29.66,-10.9,39.0 ,-2.6 
29.68,-11.5,43.6 ,-0.9 
29.7,-13.1,41.0 ,1.0 
29.72,-16.8,34.3 ,0.8 
29.74,-19.9,28.1 ,-0.6 
29.76,-10.4,20.0 ,-1.9 
29.78,-1,12.9 ,-0.9 
29.8,5.5,6.3 ,1.6 
29.82,12.9,-0.2 ,2.8 
29.84,20,-5.8 ,0.7 
29.86,19.9,-6.9 ,-1.8 
29.88,16.9,-10.0 ,-1.9 
29.9,14.3,-11.3 ,2.4 
29.92,10.9,-15.1 ,1.3 
29.94,12.8,-18.6 ,-1.1 
29.96,15.2,-19.7 ,-1.5 
29.98,13.7,-20.3 ,-1.2 
30,11.7,-22.7 ,-1.9 
30.02,9.7,-16.4 ,-3.3 
30.04,6,-4.7 ,-3.2 
30.06,-2.8,4.6 ,1.6 
30.08,-5,14.7 ,4.2 
30.1,-8.4,24.8 ,5.7 
30.12,-17.8,26.2 ,7.6 
30.14,-32.1,23.5 ,10.5 
30.16,-42,24.3 ,8.8 
30.18,-51.8,27.8 ,5.7 
30.2,-47.2,31.3 ,-0.1 
30.22,-39.4,33.2 ,-2.2 
30.24,-29,23.4 ,-3.0 
30.26,-11,14.3 ,-3.6 
30.28,5,6.9 ,-4.0 
30.3,13.2,-1.2 ,-4.1 
30.32,15.7,-12.4 ,-5.7 
30.34,17.7,-22.5 ,-8.6 
30.36,19.5,-33.3 ,-5.9 
30.38,25.5,-33.3 ,-2.2 
30.4,33.1,-30.7 ,-1.1 
30.42,32.8,-23.6 ,-2.4 
30.44,25.2,-16.0 ,-2.9 
30.46,17.3,-8.1 ,0.4 
30.48,4.5,-5.4 ,1.8 
30.5,-8.5,-2.5 ,-1.9 
30.52,-19,1.1 ,-3.1 
30.54,-22.9,4.6 ,-4.0 
30.56,-30.4,8.3 ,-5.9 
30.58,-27.7,11.3 ,-1.9 
30.6,-22.7,12.7 ,3.1 
30.62,-17.4,9.8 ,2.8 
30.64,-12.1,5.7 ,4.1 
30.66,-12.6,1.5 ,5.4 
30.68,-12.9,-4.3 ,7.5 
30.7,-8,-9.3 ,5.5 
30.72,-2.6,-15.0 ,0.8 
30.74,3.9,-20.1 ,-2.8 
30.76,6.5,-25.4 ,-3.3 
30.78,5.5,-30.6 ,-3.7 
30.8,5,-35.0 ,-4.8 
30.82,6.4,-37.1 ,-7.5 
30.84,12.6,-34.0 ,-12.5 
30.86,17.9,-19.0 ,-15.9 
30.88,24.3,-7.1 ,-13.4 
30.9,30.7,7.3 ,-11.9 
30.92,29.8,21.4 ,-9.8 
30.94,25.1,32.4 ,-4.0 
30.96,21.6,26.5 ,1.8 
30.98,16.3,24.4 ,1.0 
31,19.2,18.7 ,2.0 
31.02,23.4,13.4 ,4.2 
31.04,28.2,7.5 ,6.4 
31.06,30.1,2.7 ,8.6 
31.08,19.6,3.9 ,8.1 
31.1,10.6,6.3 ,6.9 
31.12,-3.9,3.0 ,6.1 
31.14,-16.3,-0.1 ,5.5 
31.16,-32.2,-4.3 ,4.9 
31.18,-33.5,-6.0 ,4.5 
31.2,-21.9,-3.3 ,2.9 
31.22,-14.8,-1.3 ,-2.5 
31.24,-1,-0.1 ,-5.6 
31.26,1.1,-6.1 ,-7.1 
31.28,-5.3,-8.6 ,-9.9 
31.3,-10.1,-10.7 ,-7.7 
31.32,-12.6,-12.6 ,-2.5 
31.34,-14.3,-14.7 ,2.4 
31.36,-12.9,-11.9 ,3.6 
31.38,-10.4,-7.1 ,2.8 
31.4,-7.1,-2.5 ,1.8 
31.42,-1.8,2.5 ,-0.1 
31.44,3.3,3.2 ,-2.1 
31.46,8.5,4.2 ,-2.0 
31.48,15.8,7.3 ,-0.7 
31.5,23.9,11.3 ,0.2 
31.52,31.9,15.4 ,-4.4 
31.54,34.1,19.6 ,-5.6 
31.56,31.8,24.3 ,-1.4 
31.58,21.3,21.4 ,1.8 
31.6,7.3,14.4 ,3.2 
31.62,0.9,8.4 ,3.6 
31.64,-1.5,2.2 ,4.6 
31.66,-4.7,7.7 ,6.9 
31.68,-7.5,11.1 ,8.8 
31.7,-12.1,17.4 ,10.4 
31.72,-15.6,19.2 ,12.0 
31.74,-11.6,12.7 ,10.5 
31.76,-5.6,8.3 ,8.6 
31.78,-0.6,0.7 ,8.3 
31.8,-0.3,-3.8 ,8.4 
31.82,-0.3,-2.8 ,6.6 
31.84,1.4,-1.1 ,0.0 
31.86,4.6,-7.4 ,-3.3 
31.88,7.2,-17.6 ,-1.6 
31.9,8.6,-25.2 ,-1.0 
31.92,9.8,-20.0 ,-2.3 
31.94,12.4,-17.0 ,-3.0 
31.96,14.7,-9.8 ,-0.1 
31.98,17.2,-3.2 ,2.9 
32,20,4.2 ,4.5 
32.02,25.6,11.1 ,2.1 
32.04,31.7,17.7 ,0.3 
32.06,28.7,12.5 ,-2.3 
32.08,23.1,7.7 ,-1.6 
32.1,10.5,1.3 ,-1.1 
32.12,-0.1,-5.3 ,0.8 
32.14,-1.1,-7.8 ,5.7 
32.16,-3.6,-9.1 ,10.8 
32.18,-5.3,-10.9 ,9.9 
32.2,-8.3,-11.0 ,7.2 
32.22,-5.2,-10.9 ,4.3 
32.24,-0.7,-7.1 ,2.1 
32.26,3.7,-0.8 ,2.7 
32.28,9.6,4.4 ,1.5 
32.3,15.5,11.8 ,-1.5 
32.32,20.5,12.9 ,-4.2 
32.34,14.3,7.2 ,-7.2 
